"BCR","BCR_name","CommonName","ScientificName","SPEC","No_individuals","Nsta_CJS","No_yrunique_adults","No_yrunique_young","phi.med","phi.sd","phi.05","phi.95","phi.trend.med","phi.trend.sd","phi.trend.05","phi.trend.95","sigma.phi.med","sigma.phi.sd","sigma.phi.05","sigma.phi.95","pi.med","pi.sd","pi.05","pi.95","pi.trend.med","pi.trend.sd","pi.trend.05","pi.trend.95","sigma.pi.med","sigma.pi.sd","sigma.pi.05","sigma.pi.95","ri.med","ri.sd","ri.05","ri.95","ri.trend.med","ri.trend.sd","ri.trend.05","ri.trend.95","sigma.ri.med","sigma.ri.sd","sigma.ri.05","sigma.ri.95","ahy.med","ahy.sd","ahy.05","ahy.95","ahy.trend.med","ahy.trend.sd","ahy.trend.05","ahy.trend.95","sigma.ahy.med","sigma.ahy.sd","sigma.ahy.05","sigma.ahy.95","hy.med","hy.sd","hy.05","hy.95","hy.trend.med","hy.trend.sd","hy.trend.05","hy.trend.95","sigma.hy.med","sigma.hy.sd","sigma.hy.05","sigma.hy.95"
9,"Great Basin","Dusky Flycatcher","Empidonax oberholseri","DUFL",1858,30,2143,114,0.518,0.032,0.474,0.579,-0.007,0.015,-0.031,0.018,0.454,0.205,0.117,0.808,0.401,0.034,0.349,0.459,-0.047,0.015,-0.072,-0.025,0.305,0.146,0.068,0.553,0.034,0.008,0.022,0.048,0.014,0.019,-0.017,0.045,0.571,0.185,0.307,0.912,1.136,0.216,0.851,1.552,0.004,0.006,-0.007,0.014,0.179,0.039,0.126,0.251,0.031,0.011,0.017,0.053,0.008,0.022,-0.027,0.046,0.633,0.183,0.378,0.97
9,"Great Basin","American Robin","Turdus migratorius","AMRO",3508,51,4101,850,0.521,0.019,0.491,0.555,-0.015,0.013,-0.039,0.002,0.382,0.144,0.176,0.641,0.735,0.046,0.663,0.813,-0.015,0.02,-0.05,0.015,0.461,0.25,0.097,0.915,0.169,0.026,0.132,0.218,-0.007,0.007,-0.018,0.004,0.285,0.081,0.167,0.43,3.458,0.505,2.74,4.395,-0.007,0.005,-0.014,0.001,0.134,0.031,0.092,0.193,0.549,0.115,0.393,0.766,-0.013,0.01,-0.03,0.004,0.347,0.077,0.243,0.492
9,"Great Basin","Black-headed Grosbeak","Pheucticus melanocephalus","BHGR",1795,39,2251,237,0.622,0.018,0.594,0.652,-0.001,0.012,-0.022,0.018,0.161,0.144,0.013,0.464,0.671,0.054,0.59,0.767,-0.049,0.024,-0.091,-0.014,0.403,0.239,0.063,0.843,0.063,0.014,0.044,0.089,0.013,0.012,-0.005,0.034,0.271,0.13,0.061,0.49,1.711,0.205,1.427,2.1,0.001,0.006,-0.008,0.012,0.163,0.047,0.098,0.249,0.104,0.031,0.064,0.165,0.01,0.015,-0.012,0.035,0.356,0.112,0.191,0.558
9,"Great Basin","Bushtit","Psaltriparus minimus","BUSH",224,16,269,240,0.257,0.12,0.084,0.471,-0.079,0.198,-0.483,0.075,0.812,1.447,0.057,4.196,1,0.058,0.879,1,0.113,0.58,-0.563,1.141,3.592,2.706,0.375,9.023,0.642,0.186,0.401,0.998,0.023,0.027,-0.01,0.078,0.701,0.232,0.395,1.144,0.7,0.207,0.434,1.1,0.022,0.026,-0.018,0.066,0.443,0.165,0.203,0.742,0.393,0.153,0.212,0.697,0.036,0.035,-0.017,0.096,0.782,0.221,0.501,1.208
9,"Great Basin","MacGillivray's Warbler","Geothlypis tolmiei","MGWA",3231,35,4283,849,0.5,0.016,0.474,0.527,0.007,0.009,-0.007,0.024,0.198,0.098,0.032,0.363,0.571,0.018,0.545,0.603,-0.01,0.009,-0.023,0.005,0.099,0.083,0.009,0.268,0.079,0.018,0.055,0.114,-0.003,0.013,-0.023,0.021,0.673,0.127,0.505,0.914,2.32,0.44,1.698,3.137,0.005,0.004,-0.002,0.011,0.103,0.027,0.065,0.152,0.15,0.05,0.088,0.249,-0.004,0.017,-0.028,0.026,0.715,0.131,0.543,0.969
9,"Great Basin","Downy Woodpecker","Dryobates pubescens","DOWO",333,31,412,150,0.51,0.045,0.434,0.581,0.003,0.026,-0.039,0.047,0.843,0.506,0.166,1.802,0.852,0.109,0.654,0.994,0.026,0.051,-0.035,0.123,1.16,1.247,0.136,3.971,0.334,0.061,0.248,0.445,0,0.014,-0.025,0.021,0.232,0.18,0.021,0.59,0.628,0.084,0.503,0.779,-0.001,0.008,-0.014,0.012,0.132,0.085,0.016,0.288,0.189,0.04,0.132,0.263,0.008,0.014,-0.018,0.026,0.456,0.185,0.172,0.787
9,"Great Basin","Black-capped Chickadee","Poecile atricapillus","BCCH",206,15,276,419,0.486,0.027,0.438,0.526,0.011,0.012,-0.006,0.032,0.633,0.59,0.046,1.886,0.877,0.084,0.715,0.986,-0.025,0.033,-0.075,0.026,1.38,1.33,0.169,4.311,1.111,0.259,0.77,1.611,-0.014,0.016,-0.044,0.009,0.523,0.181,0.265,0.85,1.187,0.26,0.83,1.676,0.001,0.011,-0.016,0.019,0.192,0.108,0.031,0.384,1.128,0.349,0.695,1.819,-0.025,0.01,-0.044,-0.012,0.401,0.119,0.245,0.626
10,"Northern Rockies","Brown-headed Cowbird","Molothrus ater","BHCO",528,34,,,0.506,0.028,0.462,0.553,0.005,0.015,-0.016,0.031,0.285,0.219,0.026,0.713,0.719,0.068,0.618,0.841,-0.002,0.024,-0.041,0.037,0.274,0.288,0.032,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Northern Rockies","Spotted Towhee","Pipilo maculatus","SPTO",263,11,301,100,0.47,0.056,0.377,0.558,-0.002,0.02,-0.034,0.031,0.497,0.464,0.047,1.478,0.688,0.121,0.51,0.918,-0.016,0.04,-0.083,0.038,0.673,0.846,0.06,2.462,0.362,0.074,0.245,0.488,0.004,0.015,-0.025,0.024,0.814,0.288,0.419,1.353,0.574,0.246,0.305,1.08,0.027,0.012,0.008,0.046,0.121,0.088,0.012,0.293,0.238,0.123,0.106,0.496,0.006,0.018,-0.02,0.04,0.829,0.255,0.493,1.315
10,"Northern Rockies","Western Wood-Pewee","Contopus sordidulus","WEWP",521,27,620,13,0.572,0.034,0.512,0.623,0.019,0.017,-0.009,0.046,0.239,0.222,0.026,0.713,0.584,0.066,0.492,0.707,-0.035,0.028,-0.083,0.008,0.81,0.391,0.28,1.525,0.015,0.007,0.004,0.028,-0.017,0.038,-0.096,0.026,1.424,0.77,0.502,2.973,0.901,0.145,0.668,1.141,0.034,0.008,0.021,0.048,0.076,0.055,0.01,0.184,0.012,0.007,0.003,0.026,-0.012,0.03,-0.068,0.029,1.266,0.585,0.55,2.395
10,"Northern Rockies","American Goldfinch","Spinus tristis","AMGO",1100,16,1308,8,0.453,0.024,0.422,0.5,-0.006,0.012,-0.024,0.015,0.136,0.138,0.008,0.435,0.791,0.073,0.672,0.912,-0.01,0.031,-0.048,0.05,0.493,0.414,0.057,1.37,0.002,0.002,0.001,0.007,-0.031,0.044,-0.104,0.041,0.689,0.729,0.058,2.27,2.048,0.597,1.343,3.28,0.017,0.008,0.005,0.03,0.202,0.048,0.136,0.291,0.005,0.005,0.001,0.016,-0.039,0.057,-0.126,0.062,0.777,0.757,0.088,2.384
10,"Northern Rockies","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",1771,31,2060,66,0.532,0.021,0.5,0.567,-0.004,0.013,-0.022,0.02,0.15,0.136,0.01,0.438,0.421,0.028,0.378,0.469,-0.015,0.015,-0.04,0.01,0.141,0.105,0.016,0.351,0.014,0.005,0.008,0.023,0.023,0.027,-0.025,0.061,1.023,0.289,0.652,1.579,1.747,0.369,1.265,2.458,0.021,0.006,0.012,0.031,0.125,0.037,0.071,0.192,0.015,0.007,0.007,0.029,0.036,0.034,-0.017,0.096,1.095,0.294,0.727,1.678
10,"Northern Rockies","Swainson's Thrush","Catharus ustulatus","SWTH",3428,41,4628,428,0.601,0.012,0.584,0.624,-0.008,0.007,-0.021,0.002,0.132,0.094,0.014,0.314,0.577,0.025,0.537,0.619,-0.017,0.012,-0.036,0.003,0.262,0.113,0.077,0.456,0.045,0.01,0.032,0.063,-0.003,0.011,-0.021,0.014,0.511,0.108,0.366,0.713,4.354,0.776,3.292,5.863,0.008,0.005,0,0.016,0.145,0.03,0.104,0.203,0.188,0.058,0.115,0.302,-0.012,0.015,-0.037,0.012,0.616,0.12,0.456,0.843
