"BCR","BCR_name","CommonName","ScientificName","SPEC","No_individuals","Nsta_CJS","No_yrunique_adults","No_yrunique_young","phi.med","phi.sd","phi.05","phi.95","phi.trend.med","phi.trend.sd","phi.trend.05","phi.trend.95","sigma.phi.med","sigma.phi.sd","sigma.phi.05","sigma.phi.95","pi.med","pi.sd","pi.05","pi.95","pi.trend.med","pi.trend.sd","pi.trend.05","pi.trend.95","sigma.pi.med","sigma.pi.sd","sigma.pi.05","sigma.pi.95","ri.med","ri.sd","ri.05","ri.95","ri.trend.med","ri.trend.sd","ri.trend.05","ri.trend.95","sigma.ri.med","sigma.ri.sd","sigma.ri.05","sigma.ri.95","ahy.med","ahy.sd","ahy.05","ahy.95","ahy.trend.med","ahy.trend.sd","ahy.trend.05","ahy.trend.95","sigma.ahy.med","sigma.ahy.sd","sigma.ahy.05","sigma.ahy.95","hy.med","hy.sd","hy.05","hy.95","hy.trend.med","hy.trend.sd","hy.trend.05","hy.trend.95","sigma.hy.med","sigma.hy.sd","sigma.hy.05","sigma.hy.95"
10,"Northern Rockies","Warbling Vireo","Vireo gilvus","WAVI",1767,45,2043,168,0.529,0.025,0.488,0.571,-0.02,0.014,-0.046,0,0.279,0.163,0.045,0.571,0.556,0.04,0.495,0.626,-0.029,0.016,-0.058,-0.008,0.156,0.133,0.015,0.432,0.026,0.008,0.016,0.042,-0.055,0.027,-0.103,-0.015,0.845,0.232,0.556,1.295,2.111,0.327,1.639,2.701,-0.015,0.005,-0.023,-0.008,0.118,0.045,0.04,0.19,0.042,0.014,0.023,0.07,-0.08,0.029,-0.13,-0.035,0.941,0.237,0.643,1.402
10,"Northern Rockies","American Robin","Turdus migratorius","AMRO",2675,46,2996,789,0.52,0.019,0.49,0.552,-0.007,0.01,-0.023,0.009,0.23,0.147,0.028,0.501,0.7,0.049,0.624,0.786,-0.013,0.019,-0.045,0.017,0.306,0.226,0.036,0.751,0.161,0.027,0.122,0.21,-0.009,0.008,-0.024,0.002,0.397,0.082,0.287,0.551,3.579,0.494,2.833,4.438,0.023,0.004,0.016,0.029,0.06,0.031,0.01,0.113,0.505,0.114,0.358,0.724,-0.003,0.011,-0.022,0.016,0.473,0.087,0.358,0.636
10,"Northern Rockies","Downy Woodpecker","Dryobates pubescens","DOWO",252,33,292,144,0.485,0.067,0.339,0.556,0.014,0.031,-0.025,0.074,1.177,0.954,0.153,3.073,0.78,0.156,0.514,0.996,0.024,0.049,-0.038,0.117,1.051,1.7,0.088,5.334,0.333,0.062,0.243,0.446,0.022,0.016,-0.002,0.051,0.29,0.192,0.036,0.66,0.622,0.083,0.501,0.771,-0.005,0.009,-0.021,0.009,0.1,0.084,0.009,0.267,0.165,0.035,0.117,0.232,0.02,0.013,0,0.042,0.453,0.155,0.223,0.728
10,"Northern Rockies","Dusky Flycatcher","Empidonax oberholseri","DUFL",1332,34,1277,72,0.489,0.028,0.44,0.532,-0.009,0.014,-0.032,0.012,0.196,0.158,0.017,0.515,0.441,0.04,0.383,0.514,-0.041,0.015,-0.064,-0.017,0.298,0.186,0.039,0.646,0.034,0.009,0.021,0.05,0.005,0.026,-0.041,0.042,0.925,0.291,0.536,1.481,1.146,0.221,0.846,1.56,-0.05,0.008,-0.063,-0.037,0.216,0.052,0.141,0.311,0.029,0.011,0.015,0.051,-0.033,0.037,-0.105,0.016,1.101,0.289,0.737,1.666
10,"Northern Rockies","Black-capped Chickadee","Poecile atricapillus","BCCH",1323,43,1637,1699,0.486,0.018,0.457,0.515,0.01,0.009,-0.004,0.025,0.148,0.123,0.017,0.406,0.895,0.053,0.804,0.978,-0.023,0.03,-0.068,0.026,0.522,0.604,0.031,1.897,0.834,0.115,0.666,1.046,-0.003,0.011,-0.02,0.015,0.385,0.077,0.281,0.53,2.246,0.327,1.783,2.837,-0.015,0.007,-0.027,-0.003,0.204,0.05,0.134,0.298,1.764,0.364,1.261,2.441,-0.021,0.008,-0.035,-0.007,0.433,0.075,0.334,0.577
10,"Northern Rockies","Dark-eyed Junco","Junco hyemalis","DEJU",1309,32,1405,856,0.456,0.021,0.415,0.482,0.006,0.012,-0.012,0.028,0.158,0.132,0.015,0.432,0.665,0.029,0.615,0.711,-0.009,0.016,-0.03,0.021,0.127,0.125,0.01,0.396,0.435,0.079,0.325,0.581,-0.037,0.016,-0.063,-0.011,0.372,0.085,0.26,0.536,1.07,0.281,0.705,1.608,0,0.005,-0.007,0.008,0.16,0.044,0.098,0.241,0.493,0.139,0.319,0.765,-0.029,0.016,-0.055,-0.002,0.479,0.098,0.354,0.669
10,"Northern Rockies","Red-eyed Vireo","Vireo olivaceus","REVI",268,14,344,20,0.61,0.028,0.562,0.652,0,0.014,-0.021,0.023,0.844,0.779,0.12,2.394,0.838,0.091,0.671,0.966,-0.027,0.038,-0.084,0.038,0.683,1.476,0.06,4.129,0.029,0.012,0.014,0.052,-0.008,0.023,-0.049,0.025,1.152,0.565,0.332,2.196,0.864,0.189,0.605,1.216,-0.005,0.012,-0.025,0.014,0.115,0.087,0.01,0.281,0.031,0.013,0.014,0.057,-0.021,0.025,-0.064,0.019,1.088,0.51,0.373,2.035
10,"Northern Rockies","Yellow Warbler","Setophaga petechia","YEWA",4577,35,5863,1391,0.576,0.012,0.556,0.594,-0.001,0.006,-0.011,0.009,0.091,0.074,0.01,0.241,0.612,0.021,0.578,0.648,-0.014,0.009,-0.027,0.001,0.138,0.098,0.018,0.333,0.166,0.029,0.124,0.219,0.003,0.009,-0.012,0.019,0.57,0.101,0.435,0.765,5.984,1.29,4.2,8.486,0.021,0.005,0.014,0.029,0.147,0.031,0.106,0.205,0.855,0.28,0.525,1.409,0.024,0.015,-0.001,0.049,0.596,0.104,0.459,0.794
10,"Northern Rockies","Bullock's Oriole","Icterus bullockii","BUOR",276,16,326,64,0.503,0.057,0.415,0.594,-0.01,0.04,-0.079,0.048,0.901,1.368,0.075,3.965,0.398,0.15,0.24,0.726,0.014,0.087,-0.072,0.152,0.55,1.26,0.044,3.464,0.157,0.042,0.103,0.235,-0.016,0.026,-0.058,0.029,0.199,0.18,0.02,0.583,0.875,0.269,0.525,1.386,0.01,0.016,-0.016,0.038,0.402,0.11,0.247,0.603,0.124,0.057,0.059,0.237,0.013,0.029,-0.029,0.065,0.504,0.24,0.101,0.912
10,"Northern Rockies","Yellow-breasted Chat","Icteria virens","YBCH",223,7,333,23,0.555,0.034,0.503,0.614,-0.001,0.015,-0.029,0.021,0.194,0.195,0.01,0.617,0.789,0.074,0.672,0.916,-0.041,0.04,-0.099,0.033,0.61,0.747,0.071,2.206,0.066,0.025,0.035,0.115,0.006,0.018,-0.028,0.03,0.426,0.33,0.048,1.068,0.718,0.363,0.334,1.481,0.038,0.015,0.013,0.061,0.293,0.12,0.1,0.499,0.036,0.033,0.01,0.107,-0.001,0.029,-0.046,0.05,0.832,0.413,0.191,1.563
10,"Northern Rockies","House Wren","Troglodytes aedon","HOWR",910,20,1087,462,0.338,0.034,0.281,0.392,0.002,0.019,-0.026,0.035,0.425,0.233,0.088,0.849,0.657,0.056,0.575,0.757,0,0.023,-0.032,0.044,0.182,0.176,0.018,0.557,0.411,0.096,0.285,0.595,0.004,0.014,-0.022,0.023,0.561,0.134,0.379,0.813,0.648,0.2,0.405,1.036,0.028,0.01,0.011,0.044,0.261,0.072,0.161,0.393,0.385,0.117,0.227,0.61,0.003,0.011,-0.014,0.023,0.749,0.14,0.566,1.016
10,"Northern Rockies","Veery","Catharus fuscescens","VEER",395,13,587,46,0.622,0.017,0.596,0.651,0.001,0.012,-0.023,0.017,0.174,0.166,0.016,0.525,0.589,0.039,0.521,0.649,-0.029,0.02,-0.069,-0.004,0.354,0.293,0.032,0.95,0.065,0.022,0.035,0.107,0.002,0.021,-0.035,0.034,0.386,0.286,0.042,0.931,0.984,0.353,0.564,1.699,-0.008,0.01,-0.024,0.008,0.145,0.073,0.022,0.267,0.05,0.031,0.019,0.116,-0.01,0.032,-0.066,0.041,0.782,0.326,0.333,1.391
10,"Northern Rockies","Wilson's Warbler","Cardellina pusilla","WIWA",1047,25,1190,131,0.474,0.027,0.43,0.52,0,0.011,-0.02,0.017,0.139,0.128,0.011,0.408,0.498,0.044,0.429,0.573,-0.01,0.018,-0.042,0.017,0.153,0.144,0.016,0.458,0.041,0.017,0.022,0.075,-0.017,0.015,-0.046,0.004,0.66,0.162,0.433,0.958,0.742,0.168,0.509,1.05,-0.017,0.008,-0.03,-0.004,0.206,0.05,0.136,0.297,0.027,0.013,0.013,0.054,-0.028,0.021,-0.066,0.001,0.579,0.143,0.383,0.85
10,"Northern Rockies","MacGillivray's Warbler","Geothlypis tolmiei","MGWA",3149,42,3885,506,0.5,0.017,0.471,0.527,-0.012,0.011,-0.03,0.004,0.196,0.112,0.025,0.393,0.564,0.018,0.535,0.593,-0.01,0.009,-0.023,0.006,0.081,0.071,0.008,0.231,0.067,0.014,0.048,0.093,-0.015,0.014,-0.042,0.005,0.501,0.114,0.349,0.717,3.22,0.608,2.395,4.308,-0.004,0.004,-0.011,0.003,0.105,0.031,0.058,0.16,0.175,0.057,0.102,0.284,-0.028,0.017,-0.059,-0.003,0.574,0.123,0.412,0.81
10,"Northern Rockies","Lazuli Bunting","Passerina amoena","LAZB",684,23,751,41,0.496,0.065,0.376,0.587,0.001,0.032,-0.053,0.048,1.029,0.771,0.189,2.565,0.618,0.116,0.467,0.848,-0.052,0.039,-0.121,0.002,0.386,0.495,0.045,1.284,0.059,0.021,0.03,0.098,-0.015,0.029,-0.07,0.025,0.891,0.387,0.293,1.566,0.741,0.127,0.567,0.972,0.012,0.012,-0.008,0.031,0.362,0.084,0.248,0.52,0.042,0.014,0.021,0.065,-0.03,0.021,-0.063,0.005,0.676,0.327,0.167,1.25
10,"Northern Rockies","Common Yellowthroat","Geothlypis trichas","COYE",1743,26,2332,321,0.508,0.016,0.482,0.536,-0.002,0.007,-0.016,0.008,0.076,0.073,0.007,0.233,0.653,0.033,0.6,0.707,-0.03,0.017,-0.061,-0.005,0.246,0.177,0.03,0.596,0.1,0.019,0.073,0.136,-0.004,0.011,-0.025,0.011,0.343,0.116,0.173,0.549,2.338,0.559,1.591,3.416,-0.006,0.005,-0.014,0.003,0.104,0.038,0.042,0.168,0.176,0.07,0.097,0.317,-0.019,0.015,-0.044,0.006,0.458,0.11,0.308,0.666
10,"Northern Rockies","Yellow-rumped Warbler","Setophaga coronata","YRWA",1166,37,1263,280,0.47,0.027,0.424,0.514,-0.004,0.015,-0.029,0.02,0.241,0.22,0.016,0.7,0.675,0.111,0.52,0.89,-0.08,0.075,-0.245,-0.021,0.943,0.666,0.173,2.179,0.096,0.028,0.06,0.15,-0.013,0.021,-0.05,0.019,0.951,0.193,0.697,1.321,1.519,0.29,1.123,2.069,-0.001,0.006,-0.01,0.01,0.265,0.053,0.192,0.366,0.107,0.042,0.059,0.193,-0.019,0.018,-0.051,0.009,0.926,0.182,0.689,1.276
10,"Northern Rockies","Western Tanager","Piranga ludoviciana","WETA",1286,34,1270,84,0.538,0.063,0.453,0.651,-0.007,0.035,-0.074,0.038,1.059,0.639,0.357,2.333,0.999,0.069,0.852,1,-0.045,0.298,-0.559,0.378,3.621,2.654,0.408,8.863,0.027,0.012,0.013,0.05,-0.021,0.03,-0.077,0.021,1.308,0.36,0.833,1.992,1.052,0.187,0.783,1.394,0.014,0.01,-0.004,0.03,0.457,0.083,0.349,0.617,0.024,0.011,0.011,0.045,-0.004,0.024,-0.045,0.034,1.128,0.29,0.761,1.691
10,"Northern Rockies","Black-headed Grosbeak","Pheucticus melanocephalus","BHGR",938,34,1115,78,0.611,0.025,0.565,0.647,0.008,0.015,-0.013,0.036,0.409,0.288,0.05,0.961,0.71,0.079,0.592,0.851,-0.019,0.041,-0.066,0.064,0.579,0.456,0.073,1.495,0.042,0.012,0.026,0.065,0.005,0.019,-0.035,0.026,0.476,0.242,0.087,0.9,1.619,0.206,1.246,1.931,0.021,0.01,0.004,0.037,0.305,0.07,0.211,0.438,0.054,0.021,0.03,0.096,0,0.023,-0.038,0.038,0.683,0.244,0.332,1.126
10,"Northern Rockies","Western Flycatcher","Empidonax difficilis/occidentalis","WEFL",128,15,157,14,0.491,0.115,0.326,0.714,0.013,0.091,-0.113,0.176,5.053,2.654,1.063,9.442,0.633,0.286,0.132,0.995,-0.028,0.155,-0.282,0.198,3.72,2.825,0.458,9.297,0.045,0.029,0.014,0.105,-0.034,0.052,-0.149,0.01,0.905,0.733,0.118,2.425,0.318,0.076,0.216,0.462,-0.026,0.017,-0.055,0.002,0.24,0.149,0.034,0.515,0.015,0.008,0.005,0.032,-0.039,0.047,-0.139,0.011,0.624,0.486,0.083,1.595
10,"Northern Rockies","Song Sparrow","Melospiza melodia","SOSP",2437,39,3063,2041,0.466,0.02,0.432,0.499,0.006,0.008,-0.008,0.018,0.269,0.123,0.076,0.485,0.692,0.028,0.648,0.739,-0.014,0.01,-0.031,0.002,0.149,0.119,0.014,0.388,0.603,0.068,0.499,0.725,0.004,0.008,-0.006,0.02,0.317,0.07,0.222,0.449,2.837,0.609,2.013,3.994,-0.008,0.006,-0.018,0.002,0.175,0.037,0.125,0.244,1.675,0.392,1.174,2.448,0.005,0.012,-0.014,0.025,0.438,0.079,0.335,0.592
10,"Northern Rockies","Hermit Thrush","Catharus guttatus","HETH",124,10,156,38,0.497,0.045,0.416,0.563,0.008,0.022,-0.022,0.047,0.578,0.634,0.049,1.916,0.561,0.117,0.383,0.771,-0.03,0.038,-0.091,0.028,0.728,1.146,0.07,3.075,0.174,0.103,0.07,0.385,-0.003,0.032,-0.053,0.05,1.818,0.628,1.084,3.045,0.26,0.103,0.142,0.468,-0.013,0.013,-0.033,0.01,0.546,0.163,0.321,0.848,0.048,0.026,0.02,0.102,-0.03,0.028,-0.085,0.008,1.184,0.377,0.705,1.929
10,"Northern Rockies","Orange-crowned Warbler","Leiothlypis celata","OCWA",887,30,936,381,0.482,0.025,0.442,0.524,0.015,0.013,-0.006,0.036,0.229,0.204,0.021,0.654,0.556,0.056,0.471,0.657,0.003,0.027,-0.041,0.046,0.173,0.154,0.021,0.503,0.229,0.065,0.146,0.356,0.011,0.018,-0.015,0.044,0.618,0.15,0.413,0.901,0.724,0.164,0.501,1.032,-0.001,0.008,-0.013,0.012,0.187,0.058,0.097,0.288,0.139,0.05,0.079,0.239,0.02,0.022,-0.012,0.06,0.876,0.17,0.655,1.201
10,"Northern Rockies","American Redstart","Setophaga ruticilla","AMRE",823,21,1184,146,0.527,0.025,0.481,0.563,0.013,0.016,-0.014,0.04,0.333,0.249,0.032,0.822,0.667,0.068,0.568,0.79,-0.008,0.025,-0.044,0.037,0.422,0.442,0.033,1.377,0.094,0.023,0.063,0.138,-0.005,0.017,-0.035,0.019,0.606,0.178,0.359,0.933,1.201,0.327,0.791,1.843,-0.014,0.007,-0.025,-0.003,0.115,0.058,0.023,0.213,0.114,0.051,0.059,0.218,-0.044,0.023,-0.084,-0.007,0.643,0.186,0.392,1.001
11,"Prairie Potholes","Western Wood-Pewee","Contopus sordidulus","WEWP",153,3,167,4,0.581,0.048,0.498,0.654,0.017,0.025,-0.027,0.053,1.138,0.66,0.285,2.4,0.615,0.095,0.507,0.816,-0.052,0.053,-0.169,-0.007,0.761,1.044,0.064,3.06,0.021,0.011,0.007,0.04,0,0.038,-0.054,0.068,0.875,0.781,0.101,2.502,1.066,0.517,0.738,2.048,-0.042,0.019,-0.074,-0.013,0.302,0.157,0.059,0.578,0.02,0.018,0.006,0.051,-0.01,0.035,-0.071,0.041,1.6,0.995,0.253,3.487
11,"Prairie Potholes","Common Yellowthroat","Geothlypis trichas","COYE",485,11,830,110,0.493,0.033,0.436,0.544,0,0.009,-0.017,0.013,0.844,0.586,0.157,2.004,0.578,0.051,0.496,0.664,-0.017,0.021,-0.054,0.014,0.217,0.236,0.025,0.73,0.073,0.024,0.043,0.121,0.007,0.015,-0.012,0.036,0.818,0.245,0.506,1.295,1.623,0.611,0.953,2.889,0.022,0.011,0.003,0.04,0.296,0.074,0.195,0.434,0.091,0.057,0.038,0.215,0.034,0.028,-0.009,0.084,0.748,0.21,0.476,1.157
11,"Prairie Potholes","Swainson's Thrush","Catharus ustulatus","SWTH",206,6,217,5,0.596,0.036,0.534,0.639,-0.005,0.016,-0.029,0.019,5.774,2.763,0.812,9.587,0.028,0.201,0.003,0.578,-0.027,0.039,-0.101,0.02,0.971,2.735,0.082,8.87,0.03,0.019,0.011,0.071,0,0.017,-0.02,0.032,0.586,0.571,0.046,1.819,0.817,0.357,0.401,1.527,-0.013,0.015,-0.044,0.005,0.761,0.179,0.528,1.106,0.019,0.021,0.004,0.064,-0.007,0.027,-0.047,0.041,0.52,0.533,0.065,1.689
11,"Prairie Potholes","House Wren","Troglodytes aedon","HOWR",1032,14,1287,596,0.333,0.031,0.282,0.383,-0.016,0.017,-0.046,0.01,0.388,0.241,0.05,0.836,0.694,0.059,0.61,0.803,-0.019,0.021,-0.059,0.01,0.2,0.202,0.017,0.639,0.253,0.06,0.172,0.366,0.017,0.012,0,0.038,0.435,0.12,0.271,0.66,2.743,1.076,1.588,4.909,-0.017,0.008,-0.03,-0.004,0.248,0.052,0.176,0.344,0.684,0.241,0.405,1.176,0.007,0.012,-0.007,0.031,0.585,0.124,0.422,0.823
11,"Prairie Potholes","Black-capped Chickadee","Poecile atricapillus","BCCH",375,15,476,850,0.483,0.027,0.432,0.518,0.012,0.011,-0.004,0.031,0.345,0.272,0.022,0.88,0.877,0.075,0.736,0.98,-0.021,0.032,-0.063,0.035,0.917,0.782,0.111,2.445,1.064,0.227,0.761,1.496,0.033,0.022,-0.004,0.068,0.553,0.146,0.362,0.829,2.083,0.458,1.476,2.95,-0.03,0.011,-0.049,-0.012,0.329,0.082,0.215,0.48,1.937,0.604,1.217,3.151,-0.01,0.012,-0.026,0.014,0.433,0.091,0.312,0.607
11,"Prairie Potholes","Brown-headed Cowbird","Molothrus ater","BHCO",208,14,,,0.502,0.034,0.446,0.556,0.004,0.016,-0.019,0.031,0.439,0.391,0.04,1.258,0.634,0.087,0.497,0.785,-0.003,0.025,-0.045,0.035,0.54,0.514,0.045,1.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Prairie Potholes","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",168,9,346,39,0.522,0.043,0.449,0.582,-0.011,0.022,-0.047,0.022,6.093,2.717,0.971,9.632,0.288,0.103,0.131,0.465,-0.045,0.063,-0.172,0.027,2.512,2.776,0.165,8.821,0.017,0.009,0.008,0.035,0.023,0.034,-0.045,0.067,2.215,0.698,1.393,3.612,1.308,0.397,0.802,2.087,-0.004,0.013,-0.025,0.017,0.342,0.106,0.185,0.527,0.014,0.01,0.005,0.035,-0.012,0.046,-0.091,0.058,1.82,0.629,1.085,3.075
11,"Prairie Potholes","American Redstart","Setophaga ruticilla","AMRE",381,7,478,30,0.535,0.029,0.494,0.585,0.016,0.019,-0.012,0.049,0.486,0.421,0.055,1.349,0.627,0.092,0.485,0.787,0.001,0.031,-0.035,0.064,0.53,0.524,0.044,1.594,0.058,0.022,0.028,0.1,-0.006,0.025,-0.056,0.026,1.192,0.437,0.644,2.034,0.994,0.422,0.516,1.848,0.081,0.023,0.044,0.12,0.391,0.099,0.259,0.58,0.048,0.033,0.017,0.118,0.013,0.049,-0.067,0.092,1.124,0.393,0.624,1.88
11,"Prairie Potholes","American Robin","Turdus migratorius","AMRO",703,13,862,578,0.506,0.03,0.448,0.546,-0.011,0.015,-0.04,0.009,0.368,0.315,0.046,1.037,0.592,0.086,0.465,0.747,-0.018,0.026,-0.069,0.014,0.579,0.527,0.052,1.701,0.366,0.096,0.244,0.554,-0.005,0.007,-0.016,0.007,0.125,0.088,0.012,0.293,2.079,0.539,1.363,3.102,0.005,0.007,-0.006,0.017,0.206,0.059,0.12,0.308,0.652,0.241,0.369,1.143,-0.006,0.01,-0.024,0.01,0.308,0.077,0.199,0.449
11,"Prairie Potholes","Song Sparrow","Melospiza melodia","SOSP",389,15,549,211,0.456,0.046,0.379,0.531,0.006,0.011,-0.012,0.022,1.383,0.778,0.385,2.908,0.44,0.068,0.342,0.563,-0.013,0.012,-0.033,0.007,0.604,0.358,0.094,1.273,0.353,0.076,0.245,0.495,-0.001,0.009,-0.017,0.013,0.62,0.166,0.4,0.937,2.517,0.857,1.497,4.265,0.009,0.01,-0.008,0.026,0.057,0.05,0.005,0.162,0.717,0.309,0.369,1.34,-0.001,0.022,-0.036,0.036,0.773,0.177,0.544,1.112
11,"Prairie Potholes","Yellow Warbler","Setophaga petechia","YEWA",1971,14,2988,1295,0.577,0.016,0.55,0.601,0,0.007,-0.011,0.013,0.174,0.124,0.018,0.412,0.694,0.038,0.633,0.758,-0.018,0.012,-0.041,-0.003,0.434,0.195,0.104,0.763,0.191,0.043,0.134,0.274,0.006,0.011,-0.007,0.029,0.616,0.114,0.464,0.831,8.912,3.785,5.343,17.349,-0.009,0.005,-0.017,-0.002,0.094,0.032,0.044,0.148,1.496,0.674,0.737,2.879,0.02,0.016,-0.006,0.047,0.628,0.112,0.479,0.842
11,"Prairie Potholes","Veery","Catharus fuscescens","VEER",129,5,213,13,0.62,0.02,0.589,0.652,0.005,0.013,-0.013,0.027,0.491,0.493,0.053,1.518,0.613,0.055,0.533,0.713,-0.021,0.021,-0.055,0.013,0.876,0.976,0.104,2.851,0.058,0.026,0.023,0.109,0.008,0.027,-0.033,0.056,0.717,0.518,0.132,1.744,0.932,0.411,0.45,1.755,-0.015,0.017,-0.044,0.011,0.559,0.145,0.362,0.831,0.028,0.031,0.005,0.099,-0.005,0.045,-0.081,0.068,1.167,0.676,0.351,2.483
11,"Prairie Potholes","Warbling Vireo","Vireo gilvus","WAVI",221,11,371,55,0.563,0.06,0.48,0.675,-0.004,0.02,-0.031,0.034,0.766,1.088,0.064,3.068,0.527,0.175,0.269,0.863,-0.017,0.037,-0.054,0.058,1.878,2.318,0.231,7.866,0.069,0.032,0.034,0.135,0.001,0.03,-0.038,0.057,0.756,0.385,0.219,1.475,1.491,0.432,0.959,2.348,-0.017,0.009,-0.034,-0.007,0.155,0.102,0.021,0.349,0.07,0.04,0.034,0.154,-0.006,0.032,-0.05,0.052,0.771,0.33,0.325,1.39
11,"Prairie Potholes","Red-eyed Vireo","Vireo olivaceus","REVI",224,11,277,9,0.611,0.029,0.563,0.656,-0.001,0.013,-0.023,0.02,0.768,1.259,0.065,3.51,0.648,0.137,0.43,0.884,-0.033,0.038,-0.099,0.022,1.804,1.846,0.25,6.22,0.023,0.009,0.011,0.04,-0.006,0.023,-0.044,0.03,0.557,0.452,0.073,1.498,1.173,0.31,0.778,1.773,-0.03,0.016,-0.058,-0.005,0.493,0.125,0.321,0.724,0.03,0.014,0.013,0.057,-0.021,0.026,-0.064,0.019,0.59,0.494,0.058,1.587
11,"Prairie Potholes","Gray Catbird","Dumetella carolinensis","GRCA",1372,13,1872,248,0.549,0.022,0.52,0.592,-0.005,0.007,-0.018,0.006,0.226,0.147,0.03,0.509,0.631,0.035,0.589,0.7,-0.007,0.01,-0.024,0.009,0.306,0.19,0.039,0.655,0.105,0.027,0.069,0.157,0.007,0.01,-0.006,0.028,0.607,0.147,0.408,0.888,5.934,1.395,4.055,8.578,0.018,0.007,0.006,0.029,0.177,0.046,0.112,0.262,0.586,0.242,0.316,1.081,0.025,0.016,0.004,0.057,0.638,0.148,0.445,0.92
11,"Prairie Potholes","American Goldfinch","Spinus tristis","AMGO",846,14,,,0.43,0.03,0.37,0.466,0.007,0.022,-0.017,0.053,0.444,0.318,0.052,1.061,0.752,0.092,0.601,0.904,-0.021,0.029,-0.066,0.027,0.844,0.736,0.09,2.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Prairie Potholes","Black-headed Grosbeak","Pheucticus melanocephalus","BHGR",116,1,122,9,0.616,0.033,0.564,0.664,0.007,0.024,-0.023,0.048,2.371,2.327,0.234,7.938,0.599,0.147,0.385,0.88,-0.045,0.048,-0.129,0.02,0.706,1.393,0.057,3.79,0.054,0.07,0.01,0.193,0.01,0.025,-0.031,0.046,2.083,1.448,0.602,5.148,1.698,0.41,1.291,2.393,0.025,0.019,-0.005,0.056,0.216,0.155,0.025,0.519,0.125,0.684,0.023,0.608,0,0.038,-0.058,0.063,1.851,1.251,0.57,4.393
12,"Boreal Hardwood Transition","Song Sparrow","Melospiza melodia","SOSP",350,15,466,346,0.468,0.04,0.402,0.533,0.008,0.01,-0.006,0.026,0.52,0.429,0.055,1.378,0.519,0.064,0.418,0.629,-0.014,0.013,-0.036,0.005,0.465,0.346,0.056,1.142,0.611,0.11,0.455,0.815,-0.002,0.009,-0.02,0.01,0.491,0.134,0.309,0.743,2.791,0.904,1.747,4.656,-0.005,0.016,-0.031,0.022,0.337,0.105,0.195,0.535,1.43,0.514,0.789,2.46,-0.026,0.022,-0.062,0.009,0.551,0.129,0.381,0.797
12,"Boreal Hardwood Transition","Black-capped Chickadee","Poecile atricapillus","BCCH",328,12,466,314,0.495,0.026,0.459,0.541,0.012,0.011,-0.004,0.032,0.348,0.344,0.029,1.076,0.788,0.097,0.633,0.953,-0.029,0.03,-0.082,0.011,0.577,0.693,0.062,2.057,0.515,0.132,0.341,0.771,-0.011,0.018,-0.042,0.016,0.857,0.181,0.616,1.197,1.928,0.377,1.421,2.646,0.013,0.011,-0.006,0.031,0.157,0.083,0.03,0.305,0.956,0.294,0.59,1.543,-0.021,0.011,-0.039,-0.002,0.76,0.151,0.561,1.048
12,"Boreal Hardwood Transition","Veery","Catharus fuscescens","VEER",542,14,988,97,0.625,0.018,0.599,0.658,0.003,0.01,-0.015,0.018,0.309,0.229,0.034,0.767,0.608,0.035,0.553,0.669,-0.012,0.017,-0.034,0.022,0.182,0.181,0.017,0.574,0.092,0.019,0.064,0.127,0.013,0.018,-0.011,0.045,0.374,0.224,0.039,0.768,3.971,1.324,2.375,6.683,0.015,0.008,0.002,0.027,0.066,0.048,0.006,0.16,0.3,0.13,0.155,0.568,0.028,0.024,-0.01,0.07,0.422,0.214,0.071,0.799
12,"Boreal Hardwood Transition","Common Yellowthroat","Geothlypis trichas","COYE",487,15,645,180,0.494,0.03,0.442,0.542,-0.001,0.01,-0.021,0.01,0.44,0.335,0.044,1.106,0.665,0.06,0.574,0.771,-0.009,0.021,-0.043,0.026,0.926,0.445,0.35,1.763,0.21,0.049,0.143,0.302,0.009,0.014,-0.008,0.038,0.329,0.142,0.107,0.581,1.931,0.611,1.209,3.163,0.047,0.016,0.02,0.074,0.191,0.081,0.071,0.337,0.3,0.154,0.147,0.623,0.069,0.031,0.018,0.122,0.49,0.142,0.304,0.761
12,"Boreal Hardwood Transition","American Redstart","Setophaga ruticilla","AMRE",1015,14,1501,163,0.537,0.021,0.505,0.574,0.028,0.014,0.006,0.053,0.183,0.153,0.017,0.502,0.647,0.052,0.568,0.737,-0.016,0.019,-0.05,0.012,0.202,0.181,0.022,0.587,0.078,0.02,0.051,0.115,0.007,0.016,-0.016,0.037,0.572,0.173,0.337,0.896,3.621,1.199,2.117,6.058,0.031,0.005,0.022,0.039,0.056,0.038,0.007,0.129,0.208,0.104,0.104,0.422,0.042,0.023,0.006,0.079,0.647,0.185,0.398,0.995
