BCR,BirdName,BirdScientificName,BirdCount
Appalachian Mountains,Downy Woodpecker,Dryobates pubescens,322
Boreal Hardwood Transition,Black-capped Chickadee,Poecile atricapillus,328
Atlantic Northern Forest,Wood Thrush,Hylocichla mustelina,184
Mississippi Alluvial Valley,Common Yellowthroat,Geothlypis trichas,198
Northern Rockies,Lincoln's Sparrow,Melospiza lincolnii,998
Southeastern Coastal Plain,Common Yellowthroat,Geothlypis trichas,667
Gulf Coastal Prairie,Northern Cardinal,Cardinalis cardinalis,270
Eastern Tallgrass Prairie,House Wren,Troglodytes aedon,1269
Mississippi Alluvial Valley,Hooded Warbler,Setophaga citrina,1388
Sonoran And Mojave Deserts,House Wren,Troglodytes aedon,138
Northern Pacific Rainforest,Bushtit,Psaltriparus minimus,537
Boreal Hardwood Transition,Traill's Flycatcher,Empidonax alnorum/traillii,446
Atlantic Northern Forest,Gray Catbird,Dumetella carolinensis,669
Prairie Hardwood Transition,Field Sparrow,Spizella pusilla,804
West Gulf Coastal Plain/Ouachitas,Common Yellowthroat,Geothlypis trichas,115
Northern Pacific Rainforest,Yellow-rumped Warbler,Setophaga coronata,772
Prairie Potholes,Veery,Catharus fuscescens,129
Sonoran And Mojave Deserts,Bullock's Oriole,Icterus bullockii,428
New England/Mid-Atlantic Coast,Common Yellowthroat,Geothlypis trichas,1795
Northwestern Interior Forest,Traill's Flycatcher,Empidonax alnorum/traillii,398
Great Basin,American Robin,Turdus migratorius,3508
Lower Great Lakes/ St. Lawrence Plain,Yellow Warbler,Setophaga petechia,2094
Coastal California,Swainson's Thrush,Catharus ustulatus,5627
Northern Rockies,Downy Woodpecker,Dryobates pubescens,252
Eastern Tallgrass Prairie,White-eyed Vireo,Vireo griseus,296
Southeastern Coastal Plain,American Robin,Turdus migratorius,226
Prairie Potholes,American Redstart,Setophaga ruticilla,381
Oaks And Prairies,Bewick's Wren,Thryomanes bewickii,382
Southern Rockies/Colorado Plateau,Lazuli Bunting,Passerina amoena,538
