BCR,BirdName,BirdScientificName,BirdCount
New England/Mid-Atlantic Coast,Red-eyed Vireo,Vireo olivaceus,2448
Boreal Taiga Plains,Traill's Flycatcher,Empidonax alnorum/traillii,638
Northwestern Interior Forest,Dark-eyed Junco,Junco hyemalis,533
Lower Great Lakes/ St. Lawrence Plain,Warbling Vireo,Vireo gilvus,139
Southern Rockies/Colorado Plateau,Dusky Flycatcher,Empidonax oberholseri,634
Great Basin,Traill's Flycatcher,Empidonax alnorum/traillii,970
Northern Rockies,Spotted Towhee,Pipilo maculatus,263
Central Hardwoods,Summer Tanager,Piranga rubra,303
Northern Rockies,American Goldfinch,Spinus tristis,1100
Edwards Plateau,Bewick's Wren,Thryomanes bewickii,152
Mississippi Alluvial Valley,Kentucky Warbler,Geothlypis formosa,1054
Mississippi Alluvial Valley,White-eyed Vireo,Vireo griseus,2245
New England/Mid-Atlantic Coast,Yellow Warbler,Setophaga petechia,420
Western Alaska,Yellow Warbler,Setophaga petechia,462
Atlantic Northern Forest,Ovenbird,Seiurus aurocapilla,727
Sierra Nevada,Song Sparrow,Melospiza melodia,1995
Coastal California,Bewick's Wren,Thryomanes bewickii,2237
Coastal California,MacGillivray's Warbler,Geothlypis tolmiei,292
Northwestern Interior Forest,Orange-crowned Warbler,Leiothlypis celata,552
Eastern Tallgrass Prairie,American Redstart,Setophaga ruticilla,166
Northern Pacific Rainforest,Dark-eyed Junco,Junco hyemalis,2887
Northern Rockies,Western Wood-Pewee,Contopus sordidulus,521
Atlantic Northern Forest,American Redstart,Setophaga ruticilla,695
Coastal California,Bullock's Oriole,Icterus bullockii,576
Great Basin,Brown-headed Cowbird,Molothrus ater,724
